City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,-0.93,91,100,1.51,CL,1687228034
1,ta`u,-14.2336,-169.5144,26.88,76,2,2.47,AS,1687228034
2,port-gentil,-0.7193,8.7815,22.98,94,100,2.57,GA,1687228035
3,kingston,17.997,-76.7936,29.53,77,20,6.69,JM,1687227789
4,milford haven,51.7128,-5.0341,15.06,94,100,2.74,GB,1687228035
5,blackmans bay,-43.0167,147.3167,10.85,64,51,4.24,AU,1687228035
6,ribeira grande,38.5167,-28.7,18.76,91,100,1.79,PT,1687228035
7,adamstown,-25.066,-130.1015,23.78,81,79,10.48,PN,1687228035
8,ancud,-41.8697,-73.8203,5.73,83,4,3.47,CL,1687228035
9,thinadhoo,0.5333,72.9333,28.6,72,100,3.98,MV,1687228035
10,yambio,4.5721,28.3955,19.4,99,100,1.49,SS,1687228035
11,mersing,2.4312,103.8405,29.95,84,20,1.54,MY,1687228036
12,hermanus,-34.4187,19.2345,10.45,68,100,7.66,ZA,1687228036
13,kodiak,57.79,-152.4072,17.73,59,0,2.57,US,1687228037
14,whakatane,-37.9585,176.9854,15.84,85,100,1.79,NZ,1687227953
15,nuuk,64.1835,-51.7216,5.34,81,75,1.03,GL,1687228037
16,riviere-pilote,14.4775,-60.9035,28.95,74,20,4.63,MQ,1687228037
17,kanniyakumari,8.0833,77.5667,27.08,82,100,6.57,IN,1687228037
18,albany,42.6001,-73.9662,18.27,81,82,0.57,US,1687228037
19,port-aux-francais,-49.35,70.2167,3.05,66,68,13.57,TF,1687228038
20,al hasakah,36.5024,40.7477,21.57,60,0,3.28,SY,1687228038
21,sona,45.4388,10.8255,23.21,88,0,1.03,IT,1687228038
22,bathsheba,13.2167,-59.5167,27.34,89,40,4.12,BB,1687228038
23,fortuna,40.5982,-124.1573,14.95,73,22,2.68,US,1687228038
24,waitangi,-43.9535,-176.5597,11.57,81,58,4.02,NZ,1687228038
25,bethel,41.3712,-73.414,19.24,82,0,2.57,US,1687228039
26,olonkinbyen,70.9221,-8.7187,4.0,99,99,4.57,SJ,1687228039
27,bilibino,68.0546,166.4372,18.91,31,27,8.58,RU,1687228039
28,port elizabeth,-33.918,25.5701,12.28,68,75,14.4,ZA,1687228039
29,port mathurin,-19.6833,63.4167,24.05,65,23,9.26,MU,1687228039
30,enewetak,11.3474,162.3373,27.92,78,73,7.95,MH,1687228039
31,auki,-8.7676,160.7034,28.9,72,100,1.28,SB,1687228039
32,invercargill,-46.4,168.35,11.93,77,77,1.32,NZ,1687227804
33,edinburgh of the seven seas,-37.0676,-12.3116,15.85,95,100,11.64,SH,1687228040
34,lexington,37.9887,-84.4777,21.18,88,100,4.63,US,1687227883
35,san antonio de pale,-1.4014,5.6325,24.54,77,99,7.16,GQ,1687228040
36,kuanda,56.3161,116.0806,14.0,63,100,4.11,RU,1687228040
37,andergrove,-21.0833,149.1833,26.47,73,3,5.22,AU,1687228040
38,kon tum,14.35,108.0,27.83,69,37,1.36,VN,1687228040
39,qaqortoq,60.7167,-46.0333,1.92,86,32,0.4,GL,1687228040
40,talnakh,69.4865,88.3972,4.56,99,100,2.09,RU,1687228040
41,badger,64.8,-147.5333,20.28,41,100,3.6,US,1687228040
42,inverell,-29.7833,151.1167,14.81,41,57,1.79,AU,1687228041
43,leava,-14.3,-178.1667,26.55,72,3,5.32,WF,1687228041
44,grytviken,-54.2811,-36.5092,-2.98,83,18,5.0,GS,1687228041
45,klyavlino,54.2649,52.0267,6.07,93,100,3.49,RU,1687228041
46,rio preto da eva,-2.6994,-59.6997,22.79,98,5,0.21,BR,1687228041
47,mana,5.6592,-53.7767,25.4,89,87,1.45,GF,1687228041
48,choyr,46.3611,108.3611,22.02,30,3,3.17,MN,1687228041
49,longyearbyen,78.2186,15.6401,4.91,87,75,1.03,SJ,1687228041
50,ushuaia,-54.8,-68.3,2.81,70,0,2.06,AR,1687228041
51,ust-tsilma,65.441,52.1498,4.62,69,96,3.9,RU,1687228041
52,tanumah,27.1,44.1333,29.82,18,0,3.44,SA,1687228041
53,tumut,-35.3,148.2167,7.4,71,10,1.24,AU,1687228042
54,constantia,44.1833,28.65,16.5,85,38,3.66,RO,1687227846
55,piacabucu,-10.4056,-36.4344,24.17,87,14,4.38,BR,1687228042
56,guerrero negro,27.9769,-114.0611,18.62,78,100,8.17,MX,1687227894
57,avarua,-21.2078,-159.775,26.03,83,75,5.14,CK,1687228042
58,keflavik,64.0049,-22.5624,9.95,93,75,6.17,IS,1687228042
59,rikaze,29.25,88.8833,11.28,70,91,3.21,CN,1687228042
60,obo,5.3998,26.4869,19.83,100,100,1.66,CF,1687228043
61,reyes,-14.3167,-67.3833,18.35,95,0,0.61,BO,1687228043
62,novokuznetsk,53.7557,87.1099,25.66,47,69,3.49,RU,1687228043
63,yellowknife,62.456,-114.3525,14.29,47,20,5.14,CA,1687228043
64,santanyi,39.3546,3.1291,25.45,83,100,2.96,ES,1687228043
65,west island,-12.1568,96.8225,26.99,83,100,5.66,CC,1687228043
66,klyuchi,52.2667,79.1667,16.68,54,0,8.94,RU,1687228043
67,portland,45.5234,-122.6762,16.45,84,75,3.6,US,1687227766
68,haiku-pauwela,20.9219,-156.3051,28.01,59,20,8.75,US,1687228043
69,semey,50.4111,80.2275,22.12,53,40,9.0,KZ,1687228043
70,ezhva,61.8128,50.7283,5.88,81,0,3.0,RU,1687228043
71,hami,42.8,93.45,34.83,6,17,4.45,CN,1687228043
72,hadibu,12.65,54.0333,26.96,80,76,7.76,YE,1687228044
73,tazovsky,67.4667,78.7,2.71,88,100,3.08,RU,1687228044
74,lillehammer,61.1146,10.4674,12.47,98,77,0.59,NO,1687228044
75,lihue,21.9789,-159.3672,27.58,69,40,5.14,US,1687227871
76,al bawiti,28.3492,28.8659,21.05,71,0,3.88,EG,1687228044
77,lorengau,-2.0226,147.2712,29.39,71,60,5.02,PG,1687228044
78,bredasdorp,-34.5322,20.0403,8.7,76,96,5.14,ZA,1687228044
79,dudinka,69.4058,86.1778,4.79,93,100,3.25,RU,1687228044
80,egilsstadir,65.2653,-14.3948,7.95,87,100,4.63,IS,1687228044
81,stanley,54.868,-1.6985,12.62,93,0,0.0,GB,1687228045
82,shiqian,27.5225,108.2281,28.42,66,42,0.14,CN,1687228045
83,lompoc,34.6391,-120.4579,20.43,75,0,10.29,US,1687228045
84,ust-nera,64.5667,143.2,25.08,25,100,2.24,RU,1687228045
85,yarrawonga,-36.0167,146.0,9.28,64,47,2.63,AU,1687228045
86,dalandzadgad,43.5708,104.425,24.49,16,41,1.03,MN,1687228045
87,tshikapa,-6.4167,20.8,20.86,45,45,0.79,CD,1687228045
88,micheweni,-4.9667,39.8333,24.76,79,4,3.91,TZ,1687228045
89,ntoum,0.3833,9.7833,24.87,88,91,1.17,GA,1687228045
90,mugia,43.1041,-9.2179,13.84,88,3,2.76,ES,1687228046
91,pastos bons,-6.6017,-44.0767,23.1,52,0,1.06,BR,1687227762
92,iqaluit,63.7506,-68.5145,5.85,75,100,1.54,CA,1687228047
93,jamestown,42.097,-79.2353,22.8,60,0,3.6,US,1687227876
94,nouadhibou,20.931,-17.0347,21.99,78,0,7.2,MR,1687228047
95,debno,52.739,14.698,17.3,78,75,2.68,PL,1687228047
96,pushkar,26.5,74.55,26.78,75,6,7.74,IN,1687228047
97,kiunga,-6.1219,141.2906,26.6,69,97,1.87,PG,1687228047
98,tiksi,71.6872,128.8694,8.56,81,100,4.85,RU,1687228047
99,dakhla,23.6848,-15.958,20.25,92,0,5.9,EH,1687228047
100,mount isa,-20.7333,139.5,20.87,23,8,3.09,AU,1687228047
101,keningau,5.3378,116.1602,29.16,62,97,0.57,MY,1687228048
102,san jose de feliciano,-30.3845,-58.7517,10.32,74,1,2.63,AR,1687228048
103,vadso,70.0744,29.7487,7.49,81,75,6.69,NO,1687228048
104,ust'-ilimsk,58.0006,102.6619,17.76,29,100,1.88,RU,1687228048
105,carnarvon,-24.8667,113.6333,19.16,65,0,5.18,AU,1687228048
106,isafjordur,66.0755,-23.124,4.69,93,100,3.86,IS,1687228048
107,owando,-0.4819,15.8999,21.45,98,96,0.44,CG,1687228049
